Experiment conducted at: 2024-01-12 14:38:10
Body Name,Time,normal,tangent1,tangent2
Thumb_Distal,7.66155,19.1505,5.91102,7.16737
Index_Middle,7.66155,18.4076,4.38703,6.56945
Thumb_Distal,7.96815,48.0501,12.406,18.451
Index_Middle,7.96815,25.9552,2.63145,23.3238
Small_Middle,7.96815,20.2898,9.99921,7.45486
Thumb_Distal,8.22645,75.5182,8.3595,17.1634
Index_Middle,8.22645,43.9905,7.98627,16.7258
Small_Distal,8.22645,29.6955,1.48667,1.27999
Thumb_Distal,8.499,104.526,6.95963,14.6384
Index_Middle,8.499,60.5603,4.98829,8.97072
Middle_Distal,8.499,5.07634,0.169132,4.90266
Small_Distal,8.499,37.8343,1.28666,0.838072
Thumb_Distal,8.72565,133.062,12.9483,14.5901
Index_Middle,8.72565,75.6953,1.45003,7.84545
Middle_Distal,8.72565,7.6082,1.56755,3.35961
Ring_Distal,8.72565,4.5656,3.18051,1.38509
Small_Distal,8.72565,44.8177,8.77195,23.8687
Thumb_Distal,8.967,160.164,15.8663,15.6139
Index_Middle,8.967,90.4477,7.63563,18.9036
Middle_Distal,8.967,10.0654,3.92901,6.1075
Ring_Distal,8.967,6.53301,6.53301,0
Small_Distal,8.967,27.5597,6.77009,20.7896
Small_Distal,8.967,25.6859,5.86351,19.8224
Thumb_Distal,9.2043,188.442,37.2631,25.3428
Index_Middle,9.2043,80.3584,5.07967,0.148291
Index_Distal,9.2043,20.7005,3.39378,8.29792
Middle_Distal,9.2043,13.4427,7.04895,3.95834
Ring_Distal,9.2043,4.22878,4.22878,0
Ring_Distal,9.2043,4.39033,4.39033,0
Small_Distal,9.2043,65.7373,13.2448,21.6381
Thumb_Distal,9.41085,198.34,61.4971,35.0196
Index_Middle,9.41085,51.7132,9.96082,3.44327
Index_Distal,9.41085,46.9411,7.49089,9.58841
Middle_Distal,9.41085,17.0485,10.023,7.02545
Ring_Distal,9.41085,3.94717,3.94717,0
Ring_Distal,9.41085,3.40758,3.40758,0
Ring_Distal,9.41085,4.11401,4.11401,0
Small_Distal,9.41085,72.012,23.0923,36.8739
Thumb_Distal,9.62355,204.285,81.3472,43.0398
Index_Middle,9.62355,26.2248,10.6859,2.18799
Index_Distal,9.62355,69.5843,12.3848,3.51439
Middle_Distal,9.62355,4.18824,4.18824,0
Middle_Distal,9.62355,3.89463,3.89463,0
Middle_Distal,9.62355,5.98655,5.18055,0.805999
Middle_Distal,9.62355,4.51661,4.44073,0.0758809
Ring_Distal,9.62355,11.8904,11.8904,0
Small_Distal,9.62355,79.6497,29.9251,43.8954
Thumb_Distal,9.85395,206.718,100.511,49.8925
Index_Distal,9.85395,50.3961,16.5976,0.620547
Index_Distal,9.85395,39.7856,16.5767,0.57539
Middle_Distal,9.85395,20.3042,20.3042,0
Ring_Distal,9.85395,12.7941,12.7941,0
Small_Distal,9.85395,86.2173,35.3922,50.8251
Thumb_Distal,10.0785,13.1336,7.06414,4.99318
Index_Distal,10.0785,0,0,0
Index_Distal,10.0785,12.1232,6.39231,0.0960316
Index_Distal,10.0785,0,0,0
Thumb_Distal,10.4233,63.8299,22.9494,37.4023
Index_Middle,10.4233,17.7406,8.58727,9.15334
Small_Distal,10.4233,47.3803,12.5197,34.8606
Thumb_Distal,10.7188,18.2296,4.65214,12.1271
Index_Middle,10.7188,18.7912,3.799,5.85049
Small_Proximal,11.4658,0.61812,0.61812,0
Small_Proximal,11.8422,0.368668,0,0.368668
Small_Proximal,12.6733,0.469227,0.469227,0
Small_Proximal,13.0774,0.338222,0.115596,0.222626
Small_Proximal,13.5081,0.336463,0,0.336463
