Experiment conducted at: 2024-01-12 14:43:03
Body Name,Time,normal,tangent1,tangent2
Thumb_Proximal,7.51365,0.710061,0.60193,0.376651
Thumb_Distal,8.2851,14.9296,9.75884,9.51068
Small_Middle,8.2851,18.3832,13.8309,8.18722
Thumb_Distal,8.64585,24.6537,8.81985,5.96449
Index_Middle,8.64585,11.9346,5.96492,10.337
Small_Middle,8.64585,14.963,1.3423,14.9027
Thumb_Distal,9.01005,44.3316,12.7607,20.6539
Index_Middle,9.01005,18.8609,6.03852,17.8681
Small_Middle,9.01005,26.3159,5.77905,0.754681
Thumb_Distal,9.2991,43.8605,8.01417,43.1222
Small_Middle,9.2991,47.9583,7.11746,40.3077
Thumb_Distal,9.55935,86.07,24.0608,50.4191
Index_Distal,9.55935,16.017,2.45964,15.8271
Index_Distal,9.55935,19.4531,3.03997,19.2141
Small_Middle,9.55935,24.2167,7.48432,2.58358
Small_Distal,9.55935,9.49103,5.7394,6.792
Small_Distal,9.55935,15.6894,5.90658,7.12653
Thumb_Distal,9.7833,108.378,50.0003,64.56
Index_Distal,9.7833,19.0577,13.0277,12.4694
Index_Distal,9.7833,18.5772,12.6127,13.6394
Middle_Distal,9.7833,8.26241,0.447781,8.25027
Ring_Distal,9.7833,3.24127,0.785803,3.14457
Ring_Distal,9.7833,4.74904,1.13426,4.6116
Small_Distal,9.7833,29.1786,13.6953,8.32691
Small_Distal,9.7833,22.1601,11.9951,8.49151
Thumb_Distal,9.99705,129.582,60.058,69.8259
Index_Distal,9.99705,59.5339,30.6495,51.0382
Small_Distal,9.99705,66.1485,28.439,12.6455
Thumb_Distal,10.2186,157.926,49.2381,83.9874
Index_Distal,10.2186,60.1055,19.0866,37.681
Middle_Distal,10.2186,11.9679,2.50828,11.6727
Small_Middle,10.2186,39.7287,12.9181,8.62455
Small_Distal,10.2186,45.6155,14.722,20.6445
Thumb_Distal,10.4319,177.556,86.0311,80.4444
Index_Distal,10.4319,68.7982,38.7006,46.5103
Middle_Distal,10.4319,15.4678,5.67648,14.3886
Ring_Distal,10.4319,5.70587,3.56706,4.38822
Ring_Distal,10.4319,5.73609,3.58179,4.48034
Small_Distal,10.4319,81.0693,34.3593,5.16552
Thumb_Distal,10.6606,178.936,86.7304,78.1441
Index_Distal,10.6606,74.1151,35.1814,24.0641
Middle_Distal,10.6606,16.7824,15.7749,5.69067
Small_Distal,10.6606,87.52,35.8598,43.6251
Thumb_Distal,10.8583,188.896,96.0824,74.4455
Index_Distal,10.8583,70.4339,30.7552,14.3086
Middle_Distal,10.8583,16.5795,16.5379,1.17371
Ring_Distal,10.8583,14.6944,12.6009,7.5594
Small_Distal,10.8583,26.2894,11.2268,23.7716
Small_Distal,10.8583,26.9715,11.4444,24.4231
Small_Distal,10.8583,37.3879,15.9103,33.8337
Thumb_Distal,11.0577,195.48,103.266,67.908
Index_Distal,11.0577,71.7039,38.275,32.1081
Middle_Distal,11.0577,13.9098,13.7983,1.75726
Middle_Distal,11.0577,2.07706,2.05961,0.268701
Ring_Distal,11.0577,4.49954,3.77017,2.45594
Ring_Distal,11.0577,0,0,0
Ring_Distal,11.0577,9.74336,8.19544,5.26951
Small_Distal,11.0577,100.415,39.9675,92.1183
Thumb_Distal,11.3308,23.5897,8.66288,3.83614
Index_Middle,11.3308,12.8349,2.29392,12.6282
Small_Middle,11.3308,11.8656,4.3441,3.1397
Thumb_Distal,11.6346,15.7692,9.44745,8.84786
Middle_Distal,11.6346,4.78389,2.99675,3.72895
Small_Distal,11.6346,11.4948,6.64732,9.37786
Thumb_Distal,11.9164,14.3024,3.71366,10.0775
