Experiment conducted at: 2024-01-12 14:59:32
Body Name,Time,normal,tangent1,tangent2
Thumb_Distal,8.826,0.506897,0.506897,0
Thumb_Distal,9.7164,35.0632,9.91806,23.5359
Index_Middle,9.7164,12.258,2.29559,9.96239
Small_Middle,9.7164,23.9954,6.40423,17.5911
Thumb_Distal,10.1215,25.8268,8.10364,9.86791
Index_Middle,10.1215,10.6732,3.85174,4.57566
Small_Middle,10.1215,16.5815,2.48387,14.0977
Thumb_Distal,10.4659,61.3001,31.3986,17.6369
Index_Distal,10.4659,31.1061,18.7713,12.3348
Small_Distal,10.4659,30.8267,12.9936,4.54042
Thumb_Distal,10.8735,78.9155,39.1408,31.0629
Index_Distal,10.8735,26.9536,18.9342,8.01941
Middle_Distal,10.8735,0,0,0
Ring_Distal,10.8735,21.7385,5.18826,16.5502
Small_Distal,10.8735,31.3631,25.0262,6.3369
Thumb_Distal,11.1612,102.686,21.7811,22.3317
Index_Middle,11.1612,41.8144,3.49933,2.32173
Index_Distal,11.1612,11.0558,3.41571,0.424093
Middle_Distal,11.1612,4.88014,4.16454,0.570797
Ring_Distal,11.1612,2.80648,2.12702,0.679461
Small_Distal,11.1612,42.259,8.35296,18.0672
Thumb_Distal,11.4541,129.029,37.6342,29.6928
Index_Middle,11.4541,39.8919,5.86636,1.60575
Index_Distal,11.4541,22.5323,5.39006,0.351148
Middle_Distal,11.4541,8.60103,7.21121,1.38983
Ring_Distal,11.4541,6.52182,5.45059,1.07122
Small_Distal,11.4541,52.2184,13.4727,28.4506
Thumb_Distal,11.7553,155.118,53.0529,37.1509
Index_Middle,11.7553,37.4274,5.10583,3.43171
Index_Distal,11.7553,11.5652,4.32494,0.100224
Index_Distal,11.7553,10.0991,4.35811,0.102622
Index_Distal,11.7553,12.7453,4.29825,0.0995433
Middle_Distal,11.7553,12.3379,9.64084,2.69703
Ring_Distal,11.7553,9.65577,7.58092,2.07485
Small_Distal,11.7553,62.5757,17.9942,34.8324
Thumb_Distal,12.0414,180.355,61.2825,42.4148
Index_Middle,12.0414,39.8822,5.69583,1.44932
Index_Distal,12.0414,21.8625,6.11026,1.87866
Index_Distal,12.0414,20.617,6.14145,1.87821
Middle_Distal,12.0414,15.879,11.0292,4.84984
Ring_Distal,12.0414,12.4295,9.49509,2.9344
Small_Distal,12.0414,35.2251,11.5871,23.638
Small_Distal,12.0414,35.9958,11.9359,24.0598
Thumb_Distal,12.3172,193.881,86.4896,53.6592
Index_Middle,12.3172,12.8154,8.52916,4.28628
Index_Distal,12.3172,69.0741,17.054,1.07514
Middle_Distal,12.3172,19.0694,18.9975,0.0719546
Ring_Distal,12.3172,14.5541,14.5541,0
Small_Distal,12.3172,39.2799,13.8235,25.4564
Small_Distal,12.3172,41.1746,14.7037,26.4709
Thumb_Distal,12.6201,196.25,96.1605,50.9211
Index_Distal,12.6201,48.6044,17.0582,1.01954
Index_Distal,12.6201,36.1924,17.0191,0.579164
Middle_Distal,12.6201,11.3799,11.3799,0
Middle_Distal,12.6201,12.0801,12.0801,0
Small_Distal,12.6201,91.2869,39.2102,52.0767
Thumb_Distal,12.9216,207.128,102.792,42.6175
Index_Distal,12.9216,19.2227,8.70964,1.66097
Index_Distal,12.9216,17.7848,8.78124,1.6594
Index_Distal,12.9216,20.049,8.66836,1.66198
Index_Distal,12.9216,19.0039,8.71683,1.6613
Index_Distal,12.9216,18.0103,8.77452,1.66302
Middle_Distal,12.9216,19.2345,14.647,1.79288
Ring_Distal,12.9216,10.2003,9.57716,0.623095
Small_Distal,12.9216,87.189,34.8476,36.3936
Index_Distal,13.1979,0.547426,0,0.547426
Index_Distal,13.5706,1.36214,0,1.36214
Thumb_Distal,13.9305,26.3474,6.79049,1.07819
Index_Middle,13.9305,15.1323,2.03074,13.1016
Small_Middle,13.9305,10.2144,4.45834,5.7561
Small_Proximal,14.6418,0.57554,0.57554,0
Small_Proximal,15.0814,0.366857,0.26574,0.101117
Small_Middle,15.5007,0.472775,0,0.472775
Small_Proximal,15.9456,0.396284,0,0.396284
Small_Proximal,16.4211,0.302218,0,0.302218
