Experiment conducted at: 2024-01-12 15:05:28
Body Name,Time,normal,tangent1,tangent2
Thumb_Distal,9.84495,0.444918,0.104958,0.339961
Thumb_Distal,10.3503,16.735,0.408854,5.35837
Index_Middle,10.3503,13.5844,0.558549,4.75455
Thumb_Distal,10.7569,36.3882,6.87864,20.0218
Index_Middle,10.7569,14.1841,0,14.1841
Small_Middle,10.7569,22.4073,7.52094,2.99936
Small_Distal,10.7569,0,0,0
Thumb_Distal,11.1679,48.4935,5.91197,24.9061
Index_Middle,11.1679,16.6696,2.33643,5.69697
Index_Distal,11.1679,5.31126,2.62519,2.68608
Small_Middle,11.1679,9.20503,0.410927,8.79411
Small_Distal,11.1679,15.9251,0.466406,11.2051
Thumb_Distal,11.5567,68.0232,15.2554,38.8429
Index_Middle,11.5567,3.65896,1.48757,2.17139
Index_Distal,11.5567,23.9835,7.83713,5.36534
Small_Middle,11.5567,21.2296,2.85801,14.4768
Small_Distal,11.5567,18.1955,3.04458,14.6406
Thumb_Distal,11.8957,93.3418,32.0362,48.9994
Index_Distal,11.8957,36.5719,15.4438,14.4328
Middle_Distal,11.8957,4.12465,2.53219,1.59246
Ring_Distal,11.8957,2.56776,1.03719,1.53057
Small_Middle,11.8957,17.9077,5.84629,10.1496
Small_Distal,11.8957,30.7872,6.77029,18.1752
Thumb_Distal,12.2733,119.766,46.7008,56.2885
Index_Distal,12.2733,46.6869,20.3147,14.9239
Middle_Distal,12.2733,7.98757,5.53471,2.45286
Ring_Distal,12.2733,5.78531,3.16334,2.62197
Small_Middle,12.2733,15.4546,6.05989,9.39468
Small_Distal,12.2733,42.8033,11.418,24.2114
Thumb_Distal,12.6498,154.878,46.0446,43.5619
Index_Middle,12.6498,42.7563,7.83996,3.282
Index_Distal,12.6498,30.1882,7.50935,2.29831
Middle_Distal,12.6498,10.6682,9.31181,1.32041
Ring_Distal,12.6498,8.49982,6.35508,2.14474
Small_Distal,12.6498,62.3934,14.9,35.4671
Thumb_Distal,13.0117,183.437,55.1862,45.3375
Index_Middle,13.0117,52.3593,4.60129,4.055
Index_Distal,13.0117,10.9056,4.60413,0.64821
Index_Distal,13.0117,12.4729,4.5709,0.646882
Index_Distal,13.0117,11.1917,4.59812,0.648109
Middle_Distal,13.0117,13.8662,10.3441,3.11637
Ring_Distal,13.0117,10.9005,8.18854,2.71194
Small_Distal,13.0117,72.3867,18.172,39.4084
Thumb_Distal,13.4134,192.004,76.3849,53.2523
Index_Middle,13.4134,27.0755,13.1374,3.06513
Index_Distal,13.4134,57.4607,12.1465,1.50676
Middle_Distal,13.4134,16.8311,14.4792,2.35197
Ring_Distal,13.4134,12.5246,12.5246,0
Small_Distal,13.4134,40.5359,12.7991,27.7368
Small_Distal,13.4134,39.0641,12.1208,26.9433
Thumb_Distal,13.8036,189.614,90.3756,61.8928
Index_Distal,13.8036,85.4473,36.5574,11.2001
Ring_Distal,13.8036,15.7455,15.7455,0
Small_Distal,13.8036,90.8794,39.0294,51.85
Thumb_Distal,14.245,203.086,97.9009,49.5053
Index_Distal,14.245,90.8888,37.158,7.19102
Middle_Distal,14.245,8.54342,8.54342,0
Middle_Distal,14.245,8.74301,8.74301,0
Ring_Distal,14.245,4.76152,4.76152,0
Ring_Distal,14.245,4.96892,4.96892,0
Small_Distal,14.245,88.1283,33.9481,43.6306
Thumb_Distal,14.6941,3.06333,2.01468,1.04864
Small_Middle,14.6941,4.60675,1.58274,3.02401
Thumb_Distal,15.1429,27.5488,1.81868,12.9612
Index_Middle,15.1429,22.0005,1.10185,5.58835
Index_Middle,15.1429,1.65419,0.961223,0.692967
Small_Distal,15.1429,4.0548,1.80816,2.24664
Small_Distal,15.1429,0,0,0
Thumb_Distal,15.5929,20.0473,1.04033,5.7717
Index_Middle,15.5929,14.7593,0.363116,5.24553
Small_Distal,15.5929,5.2139,1.18312,4.03078
Small_Distal,15.5929,0,0,0
Thumb_Distal,16.0156,21.1837,1.56078,4.66719
Index_Middle,16.0156,14.976,0.104536,4.34658
Small_Distal,16.0156,5.90645,1.46436,4.44209
Thumb_Distal,16.4397,21.5944,0.945523,5.75564
Index_Middle,16.4397,15.8957,2.98764,2.02495
Small_Distal,16.4397,5.2703,2.09623,3.17407
Thumb_Distal,16.8823,20.6306,0.628324,6.04937
Index_Middle,16.8823,15.4645,0.0730858,3.80925
Small_Distal,16.8823,4.70793,0.629288,2.33888
Thumb_Distal,17.293,20.6876,0.753511,5.91502
Index_Middle,17.293,15.4276,0.396143,2.94511
Small_Distal,17.293,4.77618,0.257446,1.75018
Thumb_Distal,17.6995,20.6,0.713134,5.63211
Index_Middle,17.6995,15.2817,0.337767,2.77283
Small_Distal,17.6995,4.73757,0.335202,1.82156
Thumb_Distal,18.0778,20.6425,0.762163,5.55523
Index_Middle,18.0778,15.2536,0.65345,2.21404
Small_Distal,18.0778,4.82469,0.0450171,1.28191
Thumb_Distal,18.4903,20.6736,0.86619,5.48011
Index_Middle,18.4903,15.2224,0.948736,1.70543
Small_Distal,18.4903,4.89178,0.182524,0.914303
Thumb_Distal,18.8792,20.5983,0.860605,5.28676
Index_Middle,18.8792,15.1027,0.899834,1.63463
Small_Distal,18.8792,4.88819,0.095735,1.02172
Thumb_Distal,19.2899,20.5782,0.903847,5.16374
Index_Middle,19.2899,15.0227,1.03572,1.33901
Small_Distal,19.2899,4.95189,0.183253,0.824963
Thumb_Distal,19.6554,20.5935,0.986982,5.12275
Index_Middle,19.6554,14.9961,1.22024,1.04915
Small_Distal,19.6554,5.0088,0.322747,0.611931
Thumb_Distal,20.0399,20.5288,0.995708,4.9759
Index_Middle,20.0399,14.8944,1.18171,1.02169
Small_Distal,20.0399,5.02068,0.247808,0.713109
Thumb_Distal,20.4002,20.515,1.04017,4.90456
Index_Middle,20.4002,14.8425,1.27773,0.841532
Small_Distal,20.4002,5.06956,0.308783,0.597418
Thumb_Distal,20.8053,20.4833,1.10552,4.79874
Index_Middle,20.8053,14.7618,1.35238,0.680202
Small_Distal,20.8053,5.11836,0.329204,0.562341
Thumb_Distal,21.2078,20.4289,1.12437,4.68044
Index_Middle,21.2078,14.6743,1.33216,0.653598
Small_Distal,21.2078,5.13884,0.273998,0.638956
Thumb_Distal,21.6005,20.3969,1.16618,4.59037
Index_Middle,21.6005,14.6052,1.37923,0.543022
Small_Distal,21.6005,5.17991,0.282623,0.615745
Thumb_Distal,22.0092,20.3644,1.22031,4.49696
