Experiment conducted at: 2024-01-12 14:47:38
Body Name,Time,normal,tangent1,tangent2
Thumb_Distal,7.224,3.47655,0.424334,3.45055
Thumb_Distal,8.0481,1.62893,0.0278066,1.62869
Thumb_Distal,8.388,23.971,8.88223,18.0182
Index_Distal,8.388,10.6371,7.80959,7.22205
Small_Distal,8.388,10.8,0.410323,7.82018
Thumb_Distal,8.7096,48.9298,16.1572,29.8395
Index_Middle,8.7096,15.1279,9.33929,3.71054
Small_Middle,8.7096,36.3261,5.96913,35.8324
Thumb_Distal,9.00375,71.3395,4.65162,42.4458
Index_Distal,9.00375,30.1038,1.20022,30.0799
Small_Middle,9.00375,40.5531,5.92446,11.7732
Thumb_Distal,9.2544,88.9542,7.13263,57.5561
Index_Distal,9.2544,33.4165,5.43233,19.5954
Small_Middle,9.2544,55.6278,1.29943,37.4043
Thumb_Distal,9.4671,109.416,22.0717,71.5218
Index_Distal,9.4671,12.9784,4.3158,2.72919
Index_Distal,9.4671,13.1256,4.33066,2.62478
Index_Distal,9.4671,12.6998,4.30795,2.83396
Middle_Distal,9.4671,6.97002,0.910342,6.91031
Small_Middle,9.4671,38.545,4.6505,30.9587
Small_Distal,9.4671,7.67935,0.944393,7.58305
Small_Distal,9.4671,8.0339,1.11858,7.95533
Small_Distal,9.4671,7.24538,0.75626,7.20581
Thumb_Distal,9.66315,132.538,36.9931,89.7924
Index_Distal,9.66315,40.5262,21.7772,3.55299
Middle_Distal,9.66315,10.5761,2.64558,10.2399
Ring_Distal,9.66315,2.90236,0.424879,2.8711
Ring_Distal,9.66315,3.23337,0.472941,3.19859
Ring_Distal,9.66315,1.91846,0.27675,1.89839
Small_Middle,9.66315,34.3328,4.66719,34.0141
Small_Distal,9.66315,36.4925,5.16447,36.1252
Thumb_Distal,9.8709,160.304,55.2656,93.553
Index_Distal,9.8709,57.7018,20.1743,32.0339
Middle_Distal,9.8709,12.1981,5.91531,10.6324
Ring_Distal,9.8709,4.75663,2.93839,3.73122
Ring_Distal,9.8709,4.5719,2.81441,3.60255
Small_Middle,9.8709,27.0432,9.76266,9.99957
Small_Distal,9.8709,51.0827,12.1503,28.8299
Thumb_Distal,10.0509,172.041,79.4805,88.8008
Index_Distal,10.0509,66.5239,31.3563,32.8889
Middle_Distal,10.0509,14.3785,9.5692,10.7025
Ring_Distal,10.0509,5.55137,4.62779,3.05737
Ring_Distal,10.0509,5.36656,4.46587,2.97553
Small_Distal,10.0509,77.0665,28.0057,34.4747
Thumb_Distal,10.2588,175.113,82.2611,87.9441
Index_Distal,10.2588,66.0517,28.325,2.87389
Middle_Distal,10.2588,14.3179,14.3126,0.387907
Ring_Distal,10.2588,3.77828,3.15036,2.08582
Ring_Distal,10.2588,2.9008,2.42601,1.59032
Ring_Distal,10.2588,5.61029,4.6897,3.0793
Small_Distal,10.2588,80.9165,28.703,75.6546
Thumb_Distal,10.4766,185.941,89.7659,79.0316
Index_Distal,10.4766,72.262,27.166,4.44368
Middle_Distal,10.4766,14.4129,14.3995,0.622703
Ring_Distal,10.4766,12.5812,10.637,6.71871
Ring_Distal,10.4766,0,0,0
Small_Distal,10.4766,88.3823,38.6402,79.4882
Thumb_Distal,10.7023,50.7636,15.3619,26.6172
Index_Middle,10.7023,19.4243,4.17242,18.9709
Small_Middle,10.7023,32.8784,11.5612,12.3937
Small_Distal,10.7023,0,0,0
Thumb_Distal,11.0116,27.798,5.81499,11.3725
Index_Middle,11.0116,10.9418,0.438752,0.125687
Small_Middle,11.0116,17.4028,6.23437,16.2478
Thumb_Distal,11.3194,26.3591,1.97327,0.268539
Index_Middle,11.3194,15.634,8.06361,13.394
Small_Distal,11.3194,10.5253,6.41939,8.34105
Thumb_Distal,11.6442,20.6051,11.451,2.67041
Index_Middle,11.6442,0,0,0
Index_Distal,11.6442,13.503,7.18735,2.97447
Small_Distal,11.6442,6.71782,4.21534,5.23069
Thumb_Distal,11.9599,19.8244,1.01213,4.48243
Index_Middle,11.9599,14.1607,0.223036,3.2831
Small_Distal,11.9599,5.20629,1.16397,3.40176
Thumb_Distal,12.3054,19.8848,1.0796,4.35088
Index_Middle,12.3054,14.1097,0.436183,1.9608
Small_Distal,12.3054,5.26204,0.572653,2.17963
Thumb_Distal,12.6156,19.8522,1.13842,4.17631
Index_Middle,12.6156,14.0196,0.527352,1.71525
Small_Distal,12.6156,5.28531,0.538812,2.25048
Thumb_Distal,13.1349,19.8047,1.16739,3.98854
Index_Middle,13.1349,13.8947,0.577006,1.5184
Small_Distal,13.1349,5.3138,0.542495,2.18333
Thumb_Distal,13.5552,19.7703,1.22588,3.84955
Index_Middle,13.5552,13.7922,0.685767,1.29313
Small_Distal,13.5552,5.36598,0.484458,2.03779
Thumb_Distal,13.8558,19.7888,1.28491,3.79898
Index_Middle,13.8558,13.7819,0.866974,0.951181
Small_Distal,13.8558,5.41051,0.342255,1.87667
Thumb_Distal,14.1663,19.7311,1.33697,3.59938
