Experiment conducted at: 2024-01-12 15:02:12
Body Name,Time,normal,tangent1,tangent2
Thumb_Distal,7.5039,25.4384,3.84577,16.7295
Index_Middle,7.5039,18.9968,4.05603,14.9407
Thumb_Distal,8.08035,44.9053,20.4769,21.2441
Index_Distal,8.08035,19.5024,9.1544,4.50126
Small_Distal,8.08035,24.3111,11.4426,12.8685
Thumb_Distal,8.355,52.1308,25.947,26.1839
Middle_Distal,8.355,16.2688,4.78888,10.3027
Ring_Distal,8.355,5.29598,4.65891,0.63706
Small_Distal,8.355,18.7493,10.1192,8.63018
Small_Distal,8.355,15.4939,8.08216,7.41173
Thumb_Distal,8.56605,99.588,54.2941,30.2505
Index_Distal,8.56605,8.28788,4.36696,1.6114
Index_Distal,8.56605,7.76883,4.19969,1.55867
Index_Distal,8.56605,8.71466,4.53019,1.55146
Index_Distal,8.56605,8.53221,4.4702,1.55875
Index_Distal,8.56605,9.21323,4.69534,1.53724
Middle_Distal,8.56605,7.6865,5.29562,2.26712
Ring_Distal,8.56605,5.46605,5.14622,0.319832
Small_Distal,8.56605,22.0564,10.9211,11.1235
Small_Distal,8.56605,22.0956,10.8922,11.1315
Thumb_Distal,8.80275,124.289,67.2589,34.8615
Index_Distal,8.80275,13.4975,6.02962,2.01676
Index_Distal,8.80275,13.85,6.02607,1.80867
Index_Distal,8.80275,13.9837,6.02673,1.73241
Index_Distal,8.80275,13.4341,6.02981,2.02317
Middle_Distal,8.80275,12.667,12.667,0
Small_Distal,8.80275,57.4106,30.6984,26.7122
Thumb_Distal,9.01665,154.143,82.3149,39.0655
Index_Distal,9.01665,15.6362,6.35003,1.58721
Index_Distal,9.01665,15.835,6.34776,1.50237
Index_Distal,9.01665,17.1658,6.34937,1.16407
Index_Distal,9.01665,15.4467,6.3485,1.60318
Middle_Distal,9.01665,7.92906,7.92906,0
Middle_Distal,9.01665,7.5908,7.5908,0
Ring_Distal,9.01665,11.6208,11.6208,0
Small_Distal,9.01665,64.8705,31.1289,33.7416
Thumb_Distal,9.23235,180.348,96.8114,43.7717
Index_Distal,9.23235,24.8836,10.291,1.14596
Index_Distal,9.23235,24.5681,10.2995,1.05482
Index_Distal,9.23235,24.9568,10.2838,1.13382
Middle_Distal,9.23235,9.87284,9.87284,0
Middle_Distal,9.23235,9.95703,9.95703,0
Ring_Distal,9.23235,7.41078,7.41078,0
Ring_Distal,9.23235,6.83187,6.83187,0
Small_Distal,9.23235,74.3719,33.4545,40.9174
Thumb_Distal,9.44835,203.226,105.874,46.352
Index_Distal,9.44835,27.4957,10.7146,0.236545
Index_Distal,9.44835,29.92,10.7119,0.160844
Index_Distal,9.44835,27.0807,10.718,0.288499
Middle_Distal,9.44835,11.0546,11.0546,0
Middle_Distal,9.44835,12.2309,12.2309,0
Ring_Distal,9.44835,16.7114,16.7114,0
Small_Distal,9.44835,81.5665,35.0622,46.5043
Thumb_Distal,9.702,204.335,109.951,46.2746
Index_Distal,9.702,34.2484,19.8319,2.00292
Index_Distal,9.702,59.1257,23.5801,1.96925
Middle_Distal,9.702,23.7424,23.7424,0
Small_Distal,9.702,87.9314,42.602,45.3294
Thumb_Distal,9.91725,211.06,110.63,30.8299
Index_Distal,9.91725,96.8253,44.3719,12.6852
Middle_Distal,9.91725,10.6814,10.6814,0
Middle_Distal,9.91725,10.7801,10.7801,0
Ring_Distal,9.91725,10.5964,10.5964,0
Small_Distal,9.91725,86.3849,34.3076,43.6345
Thumb_Distal,10.1518,1.12926,0.771603,0.357661
Small_Proximal,10.9539,0.97552,0.97552,0
Small_Middle,12.0337,1.18683,0.169441,0.77995
