Experiment conducted at: 2024-01-12 15:46:00
Body Name,Time,normal,tangent1,tangent2
Thumb_Proximal,6.75825,0.817144,0,0.817144
Thumb_Distal,8.4582,10.089,0.665544,9.42345
Small_Distal,8.4582,10.1172,0.336145,5.85561
Small_Distal,8.4582,0,0,0
Thumb_Distal,8.78895,46.0116,21.1782,24.2327
Index_Distal,8.78895,9.91667,8.31381,1.60287
Index_Distal,8.78895,12.3071,9.60334,2.70379
Index_Distal,8.78895,0.0974515,0.0974515,0
Small_Distal,8.78895,20.5306,0.447274,20.0833
Thumb_Distal,9.0957,74.451,6.23286,12.8863
Index_Middle,9.0957,43.9342,7.58149,8.47403
Small_Distal,9.0957,29.5376,1.28817,0.419786
Thumb_Distal,9.3858,103.646,13.3465,14.2708
Index_Middle,9.3858,57.6222,5.48814,12.1427
Index_Distal,9.3858,4.91706,3.63523,1.26732
Ring_Distal,9.3858,0,0,0
Small_Distal,9.3858,19.6937,1.52491,0.447258
Small_Distal,9.3858,20.6875,1.53267,0.365639
Thumb_Distal,9.6039,130.973,15.3143,13.0521
Index_Middle,9.6039,73.5393,5.3775,16.6267
Middle_Distal,9.6039,7.61674,2.94342,4.64017
Ring_Distal,9.6039,4.58039,4.58039,0
Small_Distal,9.6039,23.5901,6.66027,16.9299
Small_Distal,9.6039,21.9142,5.84015,16.074
Thumb_Distal,9.816,156.397,47.4638,27.6218
Index_Middle,9.816,50.137,7.66318,4.00176
Index_Distal,9.816,28.4172,7.15211,1.05274
Middle_Distal,9.816,12.0266,7.02846,4.9981
Ring_Distal,9.816,8.61263,7.28713,1.32549
Small_Distal,9.816,28.3155,9.02351,16.1597
Small_Distal,9.816,29.2616,9.03823,16.5216
Thumb_Distal,10.038,176.7,89.8299,51.6544
Index_Distal,10.038,73.5272,31.9592,23.0435
Middle_Distal,10.038,18.6853,13.1246,5.48995
Ring_Distal,10.038,13.0425,11.4627,1.54515
Small_Distal,10.038,35.2711,16.5949,10.4914
Small_Distal,10.038,36.4819,16.557,10.2763
Thumb_Distal,10.2627,195.359,98.7166,53.1161
Index_Distal,10.2627,82.2496,32.0006,12.9889
Middle_Distal,10.2627,20.528,17.9267,0.277069
Ring_Distal,10.2627,4.81998,4.81998,0
Ring_Distal,10.2627,5.19867,5.19867,0
Ring_Distal,10.2627,5.45213,5.45213,0
Small_Distal,10.2627,78.0287,33.7532,39.5616
Thumb_Distal,10.4812,198.576,98.9979,47.8207
Index_Distal,10.4812,88.2827,33.8232,3.14951
Middle_Distal,10.4812,23.9128,23.9128,0
Small_Distal,10.4812,88.5069,42.6966,45.8104
Thumb_Distal,10.7389,206.621,104.449,39.5186
Index_Distal,10.7389,30.6671,13.1752,3.65536
Index_Distal,10.7389,18.2847,10.7337,3.67788
Index_Distal,10.7389,41.9425,12.6409,3.67145
Middle_Distal,10.7389,21.137,21.137,0
Ring_Distal,10.7389,13.2484,13.2484,0
Small_Distal,10.7389,84.9542,34.3889,50.5653
Thumb_Distal,10.9855,210.582,105.736,35.536
Index_Distal,10.9855,97.8132,42.8358,14.0553
Middle_Distal,10.9855,19.7477,18.2757,1.47038
Ring_Distal,10.9855,9.33524,9.33524,0
Small_Distal,10.9855,87.344,35.6935,51.4228
Index_Middle,11.359,1.08924,0,1.08924
Thumb_Distal,11.6665,12.6765,2.94693,8.13681
Index_Middle,11.6665,12.4408,2.03647,2.03204
Thumb_Distal,12.0058,14.5945,2.72559,9.6292
Index_Middle,12.0058,14.6542,2.02555,3.54315
Thumb_Distal,12.3534,21.9417,1.54218,3.34754
Index_Middle,12.3534,14.5368,4.44737,6.2664
Small_Distal,12.3534,6.3817,3.02581,3.35588
Small_Proximal,13.6647,0.707382,0,0.707382
Small_Proximal,14.1064,1.37428,0.0791029,1.29518
Small_Proximal,14.5812,0.246364,0,0.246364
Small_Proximal,15.0183,0.254822,0.0371003,0.217722
Small_Proximal,15.4735,0.255869,0.018057,0.237812
Small_Proximal,16.3744,0.262812,0.0369676,0.225844
Small_Proximal,16.8133,0.254145,0.0333267,0.220818
Small_Proximal,17.2467,0.264546,0.0465025,0.218043
Small_Proximal,17.7043,0.270955,0.0616216,0.209334
Small_Proximal,18.1291,0.284673,0.0888598,0.195813
Small_Proximal,18.5767,0.296682,0.10189,0.182096
Small_Proximal,19.0299,0.340085,0.126947,0.144322
Small_Proximal,19.4507,0.334515,0.145545,0.147242
Small_Proximal,19.9191,0.334696,0.140031,0.147461
Small_Proximal,20.397,0.346598,0.16338,0.135498
Small_Proximal,20.7867,0.368199,0.165434,0.118233
Small_Proximal,21.2435,0.363136,0.177351,0.121491
Small_Proximal,21.7059,0.376756,0.180666,0.109872
Small_Proximal,22.0791,0.452883,0.249059,0.0473567
Small_Proximal,22.5213,0.401245,0.202931,0.0875919
Small_Proximal,22.9685,0.404592,0.212377,0.083897
Small_Proximal,23.4095,0.407358,0.221282,0.080569
Small_Proximal,23.8505,0.410401,0.229948,0.0770312
Small_Proximal,24.2208,0.412917,0.237094,0.0742265
Small_Proximal,24.65,0.415783,0.245705,0.0709383
