Experiment conducted at: 2024-01-12 15:09:36
Body Name,Time,normal,tangent1,tangent2
Thumb_Distal,7.18185,1.59789,0,1.59789
Thumb_Distal,7.59195,100.015,30.2053,42.8265
Index_Middle,7.59195,100.199,14.6964,40.0799
Index_Middle,7.59195,0,0,0
Thumb_Distal,7.9695,21.2712,7.34832,2.55557
Index_Middle,7.9695,18.9055,3.81951,0.192528
Thumb_Distal,8.25375,46.845,1.73154,29.8432
Middle_Distal,8.25375,17.2674,10.751,6.51643
Small_Middle,8.25375,33.2436,10.4581,17.8403
Small_Distal,8.25375,0,0,0
Thumb_Distal,8.5431,53.5519,9.1417,27.9306
Index_Middle,8.5431,19.637,2.31878,3.3085
Small_Middle,8.5431,31.8416,5.34221,26.4993
Small_Distal,8.5431,3.78028,1.27407,2.5062
Thumb_Distal,8.8017,76.4915,8.53419,42.4636
Index_Distal,8.8017,15.0604,0,15.0604
Index_Distal,8.8017,13.6504,0,13.6504
Small_Middle,8.8017,43.2799,5.19922,9.40374
Small_Distal,8.8017,4.78219,2.14146,2.64067
Small_Distal,8.8017,1.5057,0.508359,0.997333
Thumb_Distal,9.03465,92.5552,7.71617,57.3515
Index_Distal,9.03465,30.7861,7.77438,4.51725
Middle_Distal,9.03465,2.18285,0,2.18285
Small_Middle,9.03465,49.7716,0.280719,37.7526
Small_Distal,9.03465,11.2422,0,11.2422
Thumb_Distal,9.24045,121.64,23.3354,64.5081
Index_Distal,9.24045,43.0593,7.6241,21.3384
Middle_Distal,9.24045,6.328,0.991454,5.30894
Ring_Distal,9.24045,3.86834,0.160704,3.70764
Small_Middle,9.24045,47.399,7.33804,17.6094
Small_Distal,9.24045,22.6455,7.15126,15.373
Thumb_Distal,9.44415,146.341,33.614,73.9705
Index_Distal,9.44415,52.4123,11.2891,23.2592
Middle_Distal,9.44415,9.18892,2.93694,6.22186
Ring_Distal,9.44415,6.17136,1.57581,4.59555
Small_Middle,9.44415,48.4152,8.97897,19.2501
Small_Distal,9.44415,31.9382,8.99357,19.6611
Thumb_Distal,9.6621,158.128,66.7345,29.2121
Index_Distal,9.6621,73.951,34.1233,39.8277
Middle_Distal,9.6621,34.3876,19.3436,15.0439
Ring_Distal,9.6621,41.3195,10.3905,30.9291
Thumb_Distal,9.88005,192.524,56.3378,49.3246
Index_Middle,9.88005,49.6407,8.77328,4.06924
Index_Distal,9.88005,39.5891,10.7794,9.31155
Middle_Distal,9.88005,14.7787,9.59255,3.46093
Ring_Distal,9.88005,11.2973,9.28263,2.0147
Small_Distal,9.88005,79.8762,17.9535,37.2091
Thumb_Distal,10.0836,189.186,84.6363,67.6641
Index_Distal,10.0836,76.2376,25.6114,14.8514
Middle_Distal,10.0836,15.9861,15.931,0.0551695
Ring_Distal,10.0836,12.434,12.434,0
Small_Distal,10.0836,87.2442,31.2919,53.962
Thumb_Distal,10.3116,189.705,87.913,73.5252
Index_Distal,10.3116,85.8121,37.6989,22.2492
Ring_Distal,10.3116,3.6734,3.6734,0
Ring_Distal,10.3116,2.75513,2.75513,0
Ring_Distal,10.3116,7.08058,7.08058,0
Small_Distal,10.3116,91.069,36.4357,54.6333
Thumb_Distal,10.5631,46.3561,15.3893,15.5739
Index_Middle,10.5631,22.2462,4.64511,17.6011
Small_Middle,10.5631,25.3938,10.9582,3.19647
Thumb_Distal,10.8933,34.7914,19.4875,12.7821
Index_Distal,10.8933,14.1587,8.38723,5.77143
Index_Distal,10.8933,14.7574,8.44137,6.31599
Small_Distal,10.8933,6.13461,2.27061,3.86401
Thumb_Distal,11.2225,14.1155,3.46052,9.47275
Index_Middle,11.2225,13.709,2.3781,4.88501
Thumb_Distal,11.5443,22.2467,1.55401,6.01277
Index_Middle,11.5443,15.4172,4.56925,1.90862
Middle_Distal,11.5443,1.61133,1.61133,0
Small_Distal,11.5443,4.99326,1.54291,3.45035
Thumb_Distal,11.8878,20.1061,1.19571,4.53081
Index_Middle,11.8878,14.3358,0.118957,3.78299
Small_Distal,11.8878,5.35306,1.25738,4.09568
Thumb_Distal,12.1476,20.9347,1.00167,5.27753
Index_Middle,12.1476,15.2272,3.13727,2.3435
Small_Distal,12.1476,5.31578,2.22745,3.08833
Thumb_Distal,12.4174,20.66,0.971482,5.02347
Index_Middle,12.4174,14.9988,1.95987,0.350334
Small_Distal,12.4174,5.13819,1.03023,0.67756
Thumb_Distal,12.6814,19.0525,3.32006,12.4982
Index_Middle,12.6814,18.4163,2.71489,7.92575
Thumb_Distal,12.9777,20.4143,0.895247,5.00907
Index_Middle,12.9777,14.8385,1.36486,0.751744
Small_Distal,12.9777,5.0164,0.500885,0.416523
Thumb_Distal,13.2985,20.5888,0.968406,5.08094
Index_Middle,13.2985,14.9462,1.71804,0.225243
Small_Distal,13.2985,5.13091,0.833932,0.208718
Thumb_Distal,13.6083,20.4742,0.96531,4.89593
Index_Middle,13.6083,14.8175,1.48782,0.493269
Small_Distal,13.6083,5.08728,0.564259,0.301631
Thumb_Distal,13.9396,20.4866,1.00578,4.89253
Index_Middle,13.9396,14.7923,1.60636,0.369317
Small_Distal,13.9396,5.15934,0.672975,0.103714
Thumb_Distal,14.2272,20.408,1.02659,4.76807
Index_Middle,14.2272,14.7041,1.47,0.501518
Small_Distal,14.2272,5.13433,0.494309,0.444721
Thumb_Distal,14.5249,20.4142,1.05543,4.75645
Index_Middle,14.5249,14.6796,1.56088,0.399109
Small_Distal,14.5249,5.18992,0.575983,0.285557
Thumb_Distal,14.8332,20.3494,1.08458,4.64104
Index_Middle,14.8332,14.5962,1.47847,0.459902
Small_Distal,14.8332,5.18492,0.451093,0.525241
Thumb_Distal,15.1264,20.3453,1.10375,4.61717
Index_Middle,15.1264,14.5672,1.53419,0.394302
Small_Distal,15.1264,5.22528,0.497158,0.425912
Thumb_Distal,15.4035,20.2898,1.13127,4.51024
Index_Middle,15.4035,14.4896,1.47728,0.421559
Small_Distal,15.4035,5.22938,0.400762,0.602353
Thumb_Distal,15.6855,20.282,1.16581,4.47011
Index_Middle,15.6855,14.4522,1.53778,0.32581
Small_Distal,15.6855,5.27207,0.438643,0.516676
Thumb_Distal,15.973,20.2394,1.17605,4.39897
Index_Middle,15.973,14.3975,1.48891,0.373719
Small_Distal,15.973,5.27109,0.368474,0.655971
Thumb_Distal,16.311,20.2257,1.20607,4.35614
Index_Middle,16.311,14.3583,1.53251,0.302874
Small_Distal,16.311,5.3057,0.390598,0.60738
Thumb_Distal,16.6188,20.19,1.23893,4.27729
Index_Middle,16.6188,14.2983,1.5257,0.275704
Small_Distal,16.6188,5.32345,0.350388,0.68675
Thumb_Distal,16.9,20.1701,1.258,4.229
Index_Middle,16.9,14.257,1.54266,0.240663
Small_Distal,16.9,5.34839,0.348535,0.676294
Thumb_Distal,17.1993,20.1407,1.28317,4.16574
Index_Middle,17.1993,14.2085,1.53716,0.22012
Small_Distal,17.1993,5.36251,0.317394,0.737626
Thumb_Distal,17.5188,20.1102,1.30957,4.09444
Index_Middle,17.5188,14.1498,1.54978,0.180569
Small_Distal,17.5188,5.39202,0.301736,0.750617
Thumb_Distal,17.8185,20.0907,1.33471,4.04815
Index_Middle,17.8185,14.114,1.55851,0.145848
Small_Distal,17.8185,5.40678,0.289679,0.780529
Thumb_Distal,18.0678,20.0689,1.35264,3.99857
Index_Middle,18.0678,14.0733,1.56557,0.120203
Small_Distal,18.0678,5.42622,0.277309,0.792027
Thumb_Distal,18.3474,20.0364,1.38078,3.92495
Index_Middle,18.3474,14.0149,1.56804,0.0884214
Small_Distal,18.3474,5.44883,0.249874,0.839081
Thumb_Distal,18.6336,20.0177,1.40427,3.87796
Index_Middle,18.6336,13.9767,1.58412,0.0476245
Small_Distal,18.6336,5.46997,0.245312,0.842954
Thumb_Distal,18.9671,19.9852,1.43336,3.80413
Index_Middle,18.9671,13.918,1.58936,0.0122008
Small_Distal,18.9671,5.49374,0.220594,0.884632
Thumb_Distal,19.266,19.9599,1.45572,3.74663
Index_Middle,19.266,13.8716,1.59615,0.0182898
Small_Distal,19.266,5.51446,0.204139,0.906148
Thumb_Distal,19.5429,19.9381,1.47682,3.69677
Index_Middle,19.5429,13.832,1.60184,0.0455002
Small_Distal,19.5429,5.53095,0.189476,0.932543
Thumb_Distal,19.8873,19.905,1.50746,3.61941
Index_Middle,19.8873,13.7699,1.61152,0.088219
Small_Distal,19.8873,5.55897,0.167155,0.962746
Thumb_Distal,20.2115,19.8836,1.53236,3.56856
Index_Middle,20.2115,13.7291,1.62378,0.125999
Small_Distal,20.2115,5.57819,0.15791,0.981857
Thumb_Distal,20.5262,19.8517,1.55746,3.49756
Index_Middle,20.5262,13.6722,1.62657,0.155241
Small_Distal,20.5262,5.60145,0.132185,1.01741
Thumb_Distal,20.8427,19.8309,1.5827,3.44674
Index_Middle,20.8427,13.6314,1.64016,0.19539
