Experiment conducted at: 2024-01-12 14:34:48
Body Name,Time,normal,tangent1,tangent2
Thumb_Distal,9.0081,1.86724,0,1.86724
Thumb_Distal,9.46455,2.29542,0.769638,0.675339
Small_Middle,9.46455,2.57058,0.207582,0.695058
Thumb_Distal,9.8397,26.7153,5.01519,11.0958
Index_Middle,9.8397,3.20584,2.01229,1.19355
Index_Middle,9.8397,0,0,0
Index_Middle,9.8397,8.05559,3.29654,2.07532
Small_Middle,9.8397,16.1781,1.14351,15.0346
Thumb_Distal,10.2064,58.1158,28.5737,29.5421
Index_Distal,10.2064,13.051,7.445,5.17185
Index_Distal,10.2064,13.2665,7.41836,5.16643
Small_Distal,10.2064,29.9411,13.8496,16.0916
Thumb_Distal,10.5621,69.1653,30.2064,38.9589
Index_Distal,10.5621,30.0445,15.3493,10.6774
Small_Distal,10.5621,36.2953,13.2082,23.0871
Thumb_Distal,10.8655,94.7943,40.6957,43.6292
Index_Distal,10.8655,38.3825,19.0046,9.94367
Middle_Distal,10.8655,5.26366,4.6289,0.634761
Ring_Distal,10.8655,3.50508,2.22258,1.2825
Small_Middle,10.8655,8.25241,2.54712,5.70529
Small_Distal,10.8655,38.0764,11.8955,22.2587
Thumb_Distal,11.1747,125.372,50.0801,41.4232
Index_Middle,11.1747,18.1117,6.85821,3.35738
Index_Distal,11.1747,18.5654,6.30922,1.18605
Index_Distal,11.1747,18.8035,6.30602,1.18691
Middle_Distal,11.1747,8.99019,8.30954,0.680646
Ring_Distal,11.1747,6.67641,5.59771,1.07871
Small_Distal,11.1747,53.5736,16.2535,32.5936
Thumb_Distal,11.4613,152.934,64.0847,46.0505
Index_Middle,11.4613,20.1148,5.20228,4.4938
Index_Distal,11.4613,10.3227,4.86574,0.632596
Index_Distal,11.4613,13.6316,4.79567,0.631866
Index_Distal,11.4613,12.2268,4.82397,0.63205
Index_Distal,11.4613,10.6127,4.86186,0.632518
Middle_Distal,11.4613,12.6158,10.2146,2.4012
Ring_Distal,11.4613,9.7046,7.97884,1.72576
Small_Distal,11.4613,63.9069,20.9387,38.2118
Thumb_Distal,11.7678,180.655,71.6605,47.2615
Index_Middle,11.7678,31.4065,8.45397,2.85866
Index_Distal,11.7678,25.1801,8.41641,1.95557
Index_Distal,11.7678,23.7416,8.45618,1.95488
Middle_Distal,11.7678,16.0575,12.4668,3.59063
Ring_Distal,11.7678,12.2832,10.6633,1.61995
Small_Distal,11.7678,35.9948,11.4294,24.5654
Small_Distal,11.7678,37.0629,11.9204,25.1425
Thumb_Distal,12.0606,195.267,93.8311,55.153
Index_Middle,12.0606,7.38158,6.03941,1.34218
Index_Distal,12.0606,73.964,25.2831,2.00581
Middle_Distal,12.0606,19.2755,19.2755,0
Ring_Distal,12.0606,14.5876,14.5876,0
Small_Distal,12.0606,42.0641,15.4604,26.6037
Small_Distal,12.0606,40.138,14.568,25.57
Thumb_Distal,12.3274,204.637,100.627,52.4797
Index_Distal,12.3274,50.989,15.9928,1.97807
Index_Distal,12.3274,33.3717,15.963,0.126026
Middle_Distal,12.3274,20.1229,20.1229,0
Ring_Distal,12.3274,16.0423,16.0423,0
Small_Distal,12.3274,87.9129,33.2549,54.658
Thumb_Distal,12.5805,9.18055,4.58817,4.59238
Index_Distal,12.5805,8.41754,4.55945,0.0387605
Index_Distal,12.9502,1.14324,0,1.14324
Thumb_Distal,13.2835,14.6915,2.53356,10.562
Small_Middle,13.2835,17.2072,2.31755,14.8897
Small_Proximal,14.3205,0.602771,0.526317,0.076454
