Experiment conducted at: 2024-01-12 14:54:39
Body Name,Time,normal,tangent1,tangent2
Thumb_Proximal,8.55915,0.891807,0.0015929,0.891805
Thumb_Distal,8.94075,3.86677,1.29083,3.64495
Small_Middle,8.94075,6.77243,0.737232,5.2773
Thumb_Distal,9.39585,8.5123,2.48756,0.126978
Index_Middle,9.39585,7.34215,1.02258,2.44208
Thumb_Distal,9.62895,47.1321,2.31545,16.3485
Index_Middle,9.62895,27.9367,11.2734,25.5611
Small_Distal,9.62895,16.0824,9.44981,13.0132
Index_Distal,9.92805,0,0,0
Index_Distal,9.92805,0,0,0
Small_Distal,9.92805,1.26172,0.499014,1.15885
Thumb_Distal,10.1746,56.4095,18.3054,31.3945
Index_Distal,10.1746,12.9447,6.14256,11.3945
Index_Distal,10.1746,2.30962,0.798423,2.16722
Index_Distal,10.1746,27.9824,8.00089,10.263
Thumb_Distal,10.4401,95.0055,39.6132,49.5224
Index_Distal,10.4401,37.0681,15.6194,0.0807468
Middle_Distal,10.4401,5.75257,5.73291,0.475186
Ring_Distal,10.4401,3.92091,3.46168,1.84127
Small_Middle,10.4401,8.31562,4.44046,6.73481
Small_Distal,10.4401,18.7178,4.98594,17.9665
Small_Distal,10.4401,18.5406,4.85496,17.8937
Thumb_Distal,10.7062,121.611,57.1771,56.6706
Index_Distal,10.7062,47.2193,20.5567,1.573
Middle_Distal,10.7062,9.82854,9.82733,0.15469
Ring_Distal,10.7062,7.61182,6.89838,3.21748
Small_Middle,10.7062,3.72287,2.40742,2.83974
Small_Distal,10.7062,25.4534,8.65895,23.9353
Small_Distal,10.7062,25.2463,8.45982,23.7867
Thumb_Distal,10.9753,148.37,73.0422,62.8378
Index_Distal,10.9753,57.6212,23.5123,2.67861
Middle_Distal,10.9753,13.7953,13.7021,1.60095
Ring_Distal,10.9753,11.2813,10.1534,4.917
Small_Distal,10.9753,63.5114,25.2944,58.2571
Thumb_Distal,11.2543,175.095,88.3792,68.8026
Index_Distal,11.2543,33.8559,13.7754,1.63484
Index_Distal,11.2543,34.077,13.7696,1.61981
Middle_Distal,11.2543,17.3927,16.8614,4.26614
Ring_Distal,11.2543,14.5671,13.1719,6.22097
Small_Distal,11.2543,73.8293,30.3323,67.3106
Thumb_Distal,11.4777,193.904,98.4927,64.7783
Index_Distal,11.4777,26.3192,8.40002,4.19325
Index_Distal,11.4777,10.3398,9.55344,3.9551
Index_Distal,11.4777,37.7818,8.39703,5.86599
Middle_Distal,11.4777,20.6052,20.4496,2.52781
Ring_Distal,11.4777,17.1951,14.9363,8.51919
Small_Distal,11.4777,48.8722,22.4289,43.4217
Small_Distal,11.4777,34.4102,15.8429,30.5461
Thumb_Distal,11.7276,198.729,103.206,56.4425
Index_Distal,11.7276,79.0363,29.8699,22.7201
Middle_Distal,11.7276,19.6131,19.1588,4.19723
Ring_Distal,11.7276,5.11373,4.52584,2.38056
Ring_Distal,11.7276,10.4301,9.22785,4.86147
Small_Distal,11.7276,87.9246,42.7899,76.8099
Thumb_Distal,12.0165,201.538,104.199,48.6818
Index_Distal,12.0165,87.4369,37.9026,22.5956
Middle_Distal,12.0165,18.7669,16.9457,8.06455
