Experiment conducted at: 2024-01-12 15:03:16
Body Name,Time,normal,tangent1,tangent2
Thumb_Proximal,9.6543,1.17596,0,1.17596
Thumb_Distal,10.113,0.788734,0.104392,0.684342
Small_Middle,10.6159,0.0778141,0,0.0778141
Thumb_Distal,11.0638,27.4391,12.9237,14.5153
Index_Distal,11.0638,12.161,8.54037,3.62058
Small_Distal,11.0638,14.2671,4.86686,6.81308
Thumb_Distal,11.4742,48.4816,10.5069,26.8512
Index_Distal,11.4742,20.2977,0.729469,19.5683
Small_Middle,11.4742,18.9614,9.30597,3.2241
Small_Distal,11.4742,8.83149,0.677189,8.1543
Thumb_Distal,11.8584,67.4962,16.1587,40.1148
Index_Distal,11.8584,26.5261,8.42374,11.3763
Small_Middle,11.8584,24.7164,4.23729,13.8501
Small_Distal,11.8584,15.7628,3.62217,12.1406
Thumb_Distal,12.24,91.6687,42.3145,49.3542
Index_Distal,12.24,21.3054,11.9658,6.5982
Index_Distal,12.24,14.8713,9.48316,5.38809
Middle_Distal,12.24,6.23269,1.47343,4.75926
Ring_Distal,12.24,3.92408,0.254605,3.66948
Small_Distal,12.24,10.5786,4.58137,5.99718
Small_Distal,12.24,10.6581,4.69117,5.96693
Small_Distal,12.24,10.5128,4.48327,6.02949
Small_Distal,12.24,10.4298,4.4496,5.98022
Thumb_Distal,12.564,115.84,41.2569,60.2092
Index_Distal,12.564,22.424,8.51763,7.18564
Index_Distal,12.564,21.7871,8.51725,7.22006
Middle_Distal,12.564,6.59906,4.96793,1.63113
Ring_Distal,12.564,4.73465,3.35529,1.37936
Small_Middle,12.564,20.7163,6.44101,9.05641
Small_Distal,12.564,9.49503,2.19324,7.30179
Small_Distal,12.564,9.06528,1.95667,7.10861
Small_Distal,12.564,9.8839,2.40735,7.47656
Small_Distal,12.564,9.81896,2.3731,7.44586
Thumb_Distal,12.888,141.378,54.3151,68.5057
Index_Distal,12.888,53.3142,21.9558,12.4355
Middle_Distal,12.888,10.3674,7.68143,2.68597
Ring_Distal,12.888,7.87494,4.61419,3.26075
Small_Middle,12.888,19.6159,5.95575,10.7684
Small_Distal,12.888,24.8731,7.04722,17.8258
Small_Distal,12.888,24.332,6.73409,17.5979
Thumb_Distal,13.2282,168.926,69.1968,75.0861
Index_Distal,13.2282,64.5154,27.6035,18.9261
Middle_Distal,13.2282,14.0338,10.03,4.00385
Ring_Distal,13.2282,10.8217,6.63489,4.18681
Small_Middle,13.2282,17.2195,6.86061,10.3589
Small_Distal,13.2282,61.7943,18.0338,34.2217
Thumb_Distal,13.549,185.353,80.4771,65.8586
Index_Middle,13.549,12.493,9.59102,2.902
Index_Distal,13.549,64.1983,18.0012,5.23679
Middle_Distal,13.549,15.8261,15.8261,0
Ring_Distal,13.549,12.876,11.3469,1.52915
Small_Distal,13.549,80.3072,26.2752,54.0321
Thumb_Distal,13.9428,196.295,96.9486,60.7978
Index_Distal,13.9428,79.5136,33.6168,5.87108
Middle_Distal,13.9428,17.9444,17.9444,0
Ring_Distal,13.9428,6.02707,6.02707,0
Ring_Distal,13.9428,8.79229,8.79229,0
Small_Distal,13.9428,87.1067,32.1952,54.9115
Thumb_Distal,14.2977,195.01,93.3971,53.1381
Index_Distal,14.2977,86.5059,35.474,0.404525
Middle_Distal,14.2977,6.20146,6.20146,0
Middle_Distal,14.2977,6.0528,6.0528,0
Middle_Distal,14.2977,6.18582,6.18582,0
Small_Distal,14.2977,22.7595,9.69264,13.0668
Small_Distal,14.2977,24.6916,10.6879,14.0037
Small_Distal,14.2977,25.8073,11.1192,14.6881
Small_Distal,14.2977,20.0636,8.43694,11.6267
Thumb_Distal,14.6128,1.49108,0.0966304,1.39445
Small_Distal,14.6128,2.45797,0,2.45797
Middle_Distal,15.027,1.29604,0,1.29604
Middle_Distal,15.027,1.33811,0,1.33811
Small_Distal,16.4992,0.6398,0.6398,0
